客戶編號,客戶名稱,地址,電話號碼
H003,弘源汽車電機行,嘉義縣布袋鎮新厝里393-10號,05-3473888
H004,義豪汽車休息站,嘉義縣義竹鄉4-81號,05-3418155
H005,來興輪胎行,嘉義縣水上鄉中庄村58-61號,05-2890179
H006,正元汽車保養廠,嘉義縣布袋鎮過溝西安里140號,05-3453509
H007,永成輪胎行,嘉義縣布袋鎮光復里太平東路385號,05-3473950
H008,嘉華輪胎電腦四輪定位,嘉義縣義竹鄉義竹村29號,05-3412253
H010,明信汽車修配廠,嘉義縣六腳鄉正義村大橋頭161號,05-3706656
H011,巨揚輪胎四輪定位,嘉義縣朴子市松華里21鄰375號,05-3692021
H012,聯輝汽車,嘉義縣朴子市竹圍里四維路2段212號,05-3709387
H013,永承汽車,嘉義縣義竹鄉東光村165號,05-3420459
H014,金義發汽車換油保養中心,嘉義縣義竹鄉岸腳村45-3號,05-3411777
H015,新烽汽車保養廠,嘉義縣義竹鄉義竹村4-6號,05-3413639
H017,和邑汽車工作室,嘉義縣布子市松華里350-6號,05-3693028
H018,逢傑汽車服務中心,嘉義縣義竹鄉岸腳村角帶圍25-5號,05-3417111
H019,富億汽車保養廠,嘉義縣義竹鄉岸腳村49-2號,05-3411388
H020,醬子汽車修護工場,嘉義縣義竹鄉頭竹村10鄰124-8號,05-3411748  0937699321
H021,日升汽車保養廠,嘉義縣義竹鄉岸腳村義竹國中旁,05-3415093 0910980349
H022,全信輪胎定位,嘉義縣東石鄉西崙村12鄰209-20號,05-3450115
H025,全發汽車保養中心,嘉義縣布袋鎮太平東路96號,05-3478720
H026,德龍汽車,嘉義縣義竹鄉六桂村255號,05-3415169
H027,翔新輪胎行,嘉義縣義竹鄉義竹村92-4號,05-3412227.05-3412466
H028,偉業資訊,高雄市三民區金山路150號,07-3597227
H029,名仁輪胎坊,嘉義縣布袋鎮復興里新塭23-10號,05-3433612
H030,國聖汽車修理所,嘉義縣義竹鄉義竹村118-9號,05-3415966
I001,益好興業有限公司,嘉義市泰源二街23號,05-2334924
I002,偉盟系統股份有限公司,嘉義市國賢一街64號6F-1,05-2310848
I003,正裕汽車材料行,嘉義市新民路859巷9號,05-2241023.2255536
I004,沅貿汽材,嘉義市國陽一街80號,05-2313589
I005,興隆汽車保養廠,嘉義市興達路232號,05-2345663
J001,奇林汽車修理廠,台灣733015台南市東山區前大埔125號,06-6860473 06-6861750
J002,正安汽車保養廠,臺南市柳營區神農里367-11號,06-6232080 06-6232386
J003,信泰汽車修配廠,臺南市東山區青山里140-12號,06-6863522/6863922
J004,三益汽車診所,臺南市白河區中山路30號,06-6855965
J005,慶泓汽車修護廠,台灣733015台南市東山區前大埔175-13號,06-6864351
J006,鴻興汽車,臺南市新營區新北街83號,0931-795433
J007,精彩汽車,臺南市新營區建國路2383號,06-6333009
J008,隆吉汽車保養廠,臺南市東山區東中里新東路一段67號,06-6805695
J009,阿明汽車修護廠,臺南市柳營區重溪里5-22號,06-6233556
J010,瞬先輪胎館,臺南市新營區長榮路1段352號,06-6591972 6591974
J011,名捷汽車維護中心,臺南市六甲區龜港里159巷36號,06-6993681
J012,智程汽車,臺南市新營區長榮路2段1092號,06-6567228  0984065105
J013,松記汽車修護廠,臺南市柳營區柳營路1段281號,
J014,嘉讚汽車修護廠,臺南市鹽水區岸內里松子腳12-1號,0905833133  06-6522865
J015,東興汽材行,臺南市新營區中山路44號,06-6322146 6322083 6333973
J016,文清汽車工作所,臺南市後壁區仕安里80-8號,06-6623789/6623606
J017,政育汽車,臺南市新營區開元路301號,06-6353797
J018,億昇輪胎,臺南市新營區復興路274號,06-6563911
J019,億通汽車材料行,臺南市新營區新進路1段57號,06-6323711
J020,祥豐汽車材料行,臺南市新營區長榮路2段33號,06-6568729.6569519.6567220 6564158
J021,星速汽車修護廠,臺南市六甲區中山路271號,0982200813  0929050612
J022,翔慶汽車修護廠,臺南市東山區聖賢里田尾82號,06-6337861
J023,玉新汽車保養維修中心,臺南市玉井區中華路198號,06-5742813
J024,于辰汽車修護廠,臺南市柳營區柳營路3段103號,06-6223277
J025,旺興汽車,臺南市白河區中山路2-68號,
J026,太子輪業行,臺南市新營區太北里44-137號,06-6532755  6532757
J027,志明汽車修護廠,台灣724030台南市七股區篤加88-1號,0988-667626
J028,冠軍汽車保修連鎖,臺南市新營區長榮路1段356-1號,06-6330701
J029,奕啟汽車工作室,臺南市官田區烏山頭里98號,989008681
J030,呈業汽車保修廠,臺南市新營區區長榮路2段541號,06-6560023 06-6565399
J031,巨洋汽車專業保養中心,臺南市新營區長榮路1段500-1號,06-6335711   0932974713
J032,惠生汽車保養廠,臺南市後壁區土溝里133-22號,06-6830181
J033,信宏車輪定位中心,臺南市楠西區信義路48號,06-5753360
J034,新進汽車修護廠,臺南市新營區開元路9號,06-6324281/6332646
J035,梁嘉峰,臺南市鹽水區義稠45-1號,0937610292 0982024109
J036,東山允成汽車,臺南市東山區,
J037,定成汽車修理廠,臺南市新營區中正路126號,06-6335786
J038,大正汽車修護廠,臺南市新營區中正路370號,06-6350238
J039,明泰汽車保養廠場,臺南市六甲區中華路117號,929600297
J040,元亨汽車保養廠,臺南市官田區中華路2段136號,06-5792270 0927-522916
J041,鑫陽汽車保養廠,臺南市鹽水區金和路75-10號,0976-006775
J042,尚和汽車修護廠,臺南市新營區東山路19巷15號,06-6355359
J043,俊益中古汽車材料,臺南市東山區三榮里許秀才1-12號,935477946
J045,高峰汽車修護廠,臺南市官田區中華路二段91號,905503975
J046,國鋐汽車修配廠,臺南市官田區南部里100號,06-5794175
J047,新東輪胎定位,臺南市東山區東中里新東路2段3號之1,06-6802905
J048,新長榮汽車保養中心,臺南市新營區長榮路二段821號,06-6569931
J049,誌鴻汽車修護廠,臺南市學甲區三慶里紅茄1-2號,06-7810281
J050,翔全輪胎定位底盤健診中心,臺南市官田區南部里40之3號,06-5793335
J051,祐昇汽車保養廠,臺南市新營區長榮路1段297-3號,06-6371369
J052,名坊汽車保養廠,臺南市後壁區下寮210-50號,06-6323031
J053,順發汽車,臺南市六甲區中山路505巷55號,06-6991935 6994207
J054,鑫鴻車坊,台灣736003台南市柳營區果毅後282-1號,06-6231911
J055,永明汽車電機行,臺南市新營區民生路156號,06-6563517
J056,佳明汽車保養廠,臺南市將軍區嘉昌里北嘉66-33號,06-7946483
J057,嘉駿汽車保養場,臺南市白河區中山路278號,06-6850969 06-6854997
J058,濟修汽車保養廠,臺南市永康區永大路2段852號,06-2058591
J059,振宏保養廠,臺南市新營區中正路439巷6號,0936-268389
J060,銘冠輪胎電腦定位,臺南市新營區太子路8號,06-6569878 6569879
J061,再弘汽車電機,臺南市新營區長榮路2段1143號,0931-902412  06-6570406
J062,高銘輪胎四輪定位,臺南市新營區新進路2段357-1號,06-6568989
J063,順泰汽車,臺南市新營區開元路357號,06-6328983
J064,全民汽車,台灣734044台南市六甲區林鳳營277-18號,06-6988738 0978731752
J065,駿力車業,臺南市下營區大吉里大屯寮26-1號,06-6890612
J066,維森汽車,台灣736台南市柳營區果毅後87號,901196199
J067,廣發汽車修配廠,臺南市新營區長榮路一段512號,0981923959 06-6375168
J068,大強輪胎行,臺南市學甲區中正路446號,06-7832714
J069,橋龍電腦四輪定位,臺南市白河區中山路376-2號,06-6832244
J070,千翔汽車工作所,臺南市新營區新東里開元路203號,06-6362788-9
J071,全盛汽車企業社,臺南市新營區長榮路1段95號,06-6337365
J072,代新汽車保養廠,臺南市後壁區新港東20-12號,0933-690281  6325975
J073,進喜汽車,臺南市白河區河東里99-6號,06-6852268
J074,合發汽車,臺南市新營區長榮路1段155號,06-6328374  6355598
J075,鋐瀚汽車,臺南市新營區新東里長榮路1段297號,921929136
J076,欣達汽車修護廠,臺南市新營區長榮路2段963號,06-6593841.6593842
J077,麻春輪胎行,臺南市麻豆區新生北路670號,06-5720068
J078,協亨汽車修護廠,臺南市柳營區東昇里,0982939776 06-6223920
J079,大順輪胎行,臺南市白河區中山路229號,06-6857130
J080,昌群汽車修護中心,臺南市下營區裕農街18號,06-6792228
J081,源宏汽車保養廠,臺南市六甲區菁埔里林鳳營369號,06-6984667
J082,翔雲汽車輪胎,臺南市新營區長榮路一段531號,06-6375077
J083,豐興輪胎底盤定位,臺南市新營區復興路718-1號,06-6530036  6531861
J084,雋英汽車修護廠,臺南市新營區民生路463-1號,06-6592901
J085,欣達汽車修理護廠,臺南市新營區長榮路2段963號,06-6593841.6593842
J086,太勝輪胎定位,臺南市鹽水區岸內里蔦松腳11-2號,06-6529971
J087,福益汽車修保養廠,臺南市鹽水區三福路123號,06-6531036
J088,威勝汽車,臺南市六甲區中正路32巷1弄110號,0912-671520
J089,東明汽車維修廠,臺南市官田區南部130號,06-5791432
J090,百聯汽車,臺南市官田區烏山頭里101-5號,06-6991954
J091,昇和汽車保養廠,嘉義縣布袋鎮樹林里樹林頭13號,05-3452708
J092,天翔輪胎行,臺南市鹽水區井水里溪洲寮2-7號,06-6532741
J093,富盛汽車修護廠,臺南市麻豆區穀興里自由路32-10號,06-5715455
J094,鴻陞汽車修護廠,臺南市七股區後港里港東15號,0939-703827
J095,永富汽車維護中心,臺南市後壁區仕安里30-3號,06-6622054
J096,唐億汽車,臺南市柳營區柳營路三段45號,06-6221981
J097,翔泰-冠軍汽車保修連鎖,臺南市新營區民治路158號,06-6566988
J098,春興輪胎行,臺南市白河區中正路246號,06-6855561/6856271
J099,榮義昌車保修護廠,臺南市柳營區士林里53-100號,0970570085  06-6221383
J100,興業汽車保修,臺南市新營區秦漢街147號,0938-070371
J101,樺煒汽車保養廠,臺南市白河區富民路111號,0978-585-820  06-6852111
J102,福成汽車,臺南市新營區長榮路1段352號,06-6377677
J103,嘉鵬汽車快速保養,臺南市新營區建業路2-5號,06-6321721
J104,新營汽車商行,臺南市新營區復興路383號,06-6561707
J105,信眾汽車有限公司,臺南市柳營區八翁里和平路18號,06-6222772/06-6222907
J106,冠均汽車修護保養廠,臺南市安定區安加里258-42號,0929-011701
J107,鴻展快速保養廠,高雄市路竹區新生路2巷323號,07-6952691
J108,和益汽車音響百貨,臺南市柳營區成功街198號,06-6225679 6225658
J109,輝豐汽車修護廠,臺南市新營區嘉芳里五福路10號,06-6523258
J110,信泰汽車保養所,臺南市新營區三民路6-2號,06-6373570
J111,明昌,,921442552
J112,三合誠汽車保修廠,臺南市下營區茅港里336號,06-6790215
J113,永新汽車保養廠,臺南市白河區竹門里9鄰108號(找竹門國小幼兒園),0961-018862 06-6852196
J114,隆展汽車修護廠,臺南市鹽水區三福路100號,06-6523341
J115,展興汽車修護廠,臺南市白河區三間厝300-1號,06-6851284  6859866
J116,金品汽車修配廠,臺南市安定區安加里256-15,06-5975280
J117,允成汽車修護廠,臺南市麻豆區新生北路107號,06-5715651 0934-081371
J118,合興輪胎行,臺南市白河區中山路568號,06-6855271/06-6830153
J119,弘盛汽車修護廠,臺南市新營區民治路6-49號,06-6324141
J120,安穩汽車,臺南市柳營區柳營路1段956號,06-6221145
J121,佳輪輪胎,臺南市永康區永大路3段253號,06-2014209
J122,嘉鋐汽車企業社,臺南市新營區開元路122號,06-6321885
J123,麥斯特底盤定位中心,臺南市六甲區民族街238號,06-6991766  0929581990
J124,車易購,臺南市六甲區龜港里143號,06-6980999
J125,萬隆輪胎四輪定位,臺南市六甲區中正路136號,06-6988833
J126,尚昇汽車,臺南市新營區東山3路,
J127,來得福汽車保養廠,臺南市新營區復興路616號,06-6561410  6562929
J128,瑞芳汽車保養場,臺南市新營區太子路17-1號,06-6591861
J129,宏哲汽車電機,臺南市東山區新東路二段42號,06-6802164 06-6802353 6803447
J130,連欣汽車保養廠,臺南市歸仁區中正南路1段453巷2號,06-2308760
J131,弘達汽車保養廠,臺南市新營區民族路330巷61號,06-6358800/6351155
J132,明群汽車修理所,臺南市新營區民治路311號,932846478
J133,裕益汽車股份有限公司新營營業所,臺南市新營區復興路748號,06-6526680
J134,立大汽車保修廠,臺南市後壁區福安里365號,06-6353242
J135,元享汽車保養場,臺南市鹽水區橋南里忠孝路77號,06-6531984
J136,均安汽車電機行,臺南市六甲區民族街364號,06-6989483
J137,裕順汽車保養廠,臺南市新營區復興路612號,06-6568101
J138,裕新汽車,臺南市六甲區中社里6-60號,06-6980110
J139,弘昕輪胎定位專業廠,臺南市六甲區中山路319-1號,06-6987786
J140,瑞芳汽車保養廠,臺南市後壁區長安里67號,06-6332913
J141,勝程汽車電機,臺南市新營區長榮路2段1096號,06-6590187
J142,昇泰汽車,臺南市新營區長榮路1段303號,06-6357748  0933-365518
J143,領先汽車有限公司,臺南市新營區長榮路366號,06-6373377
J144,加全汽車,臺南市鹽水區南太路14號,06-6529401
J145,力榮汽車電機行,臺南市麻豆區新生南路546號,06-5710461
J146,進川汽車保養廠,臺南市新營區民治路78-10號,06-6561040
J147,鴻成汽車保養廠,臺南市白河區中山路461號,06-6850826
J148,明勤汽車保養廠,臺南市新營區開元路363號,06-6332687/06-6337458
J150,泰山汽車修理廠,臺南市六甲區中正路1110號,06-6980203.6992997
J151,惠昌汽車修護廠,臺南市新營區開元路207號,06-6362307
J152,益豐汽車電機修理,臺南市新營區大同路29-3號,06-6321796
J153,永記汽車電機行,臺南市新營區開元路59巷78號,06-6358282  6332981(工廠)
J154,銘利汽車精品,臺南市臺南市永康區西勢路456號,06-2030532
J155,鴻勝汽車,臺南市新營區新北街209-2號,932835551
J156,日成汽車保養廠,臺南市六甲區龜港里151號,06-6990423 6995323
J157,仁凱汽車保養中心,臺南市柳營區柳營路二段526號,06-6220759
J158,鈺舜汽車修護廠,臺南市鹽水區義稠里金和路311巷29號,06-6532919
J159,怡祥汽車修配廠,臺南市麻豆區安西里242-19號,06-5716727
J160,盈捷汽車,臺南市新營區長榮路2段993號,06-6571799
J161,明祥汽車保養廠,臺南市新營區健康路20號,06-6323757
J162,正宇汽車輪胎保修,臺南市新營區民治路146號之1,06-6568819
J164,廣盛汽車保養所,臺南市六甲區二甲里光復街99號,06-6980602
J165,宏昇輪胎電腦定位,臺南市玉井區中山路19號,06-5747959
J167,昆賢汽車保養廠,臺南市佳里區復興路60號,06-7220552
J168,再弘汽車修配廠,臺南市新營區長榮路2段1143號,0932-884449 06-6570405
J169,新永發汽車修護廠,臺南市鹽水區三福路114號,06-6526139
J170,永合汽車,臺南市鹽水區忠孝路135號,06-6525762
J171,新泰汽車保養廠,臺南市新營區民生路582號,06-6567588
J172,弘勝汽車修護廠,臺南市西港區中山路17-3號,06-7961031
J173,鑫順汽車修護廠,臺南市後壁區福安里下寮206-2號,06-6328381
J174,寶祥汽車修護廠,臺南市新營區長榮路1段281號,06-6378302
J175,大佳汽車保養廠,臺南市佳里區仁愛路30號,06-7238558
J177,陞達汽車輪胎保養廠,臺南市官田區二鎮里75號-42,06-6981900  6987760
J179,億倢汽車保養廠,臺南市麻豆區新生北路129號,06-5713858
J180,冠鋐汽車修護廠,臺南市新營區民榮里太子路128號,06-6570508  0932846207
J181,歐日汽車修護廠,臺南市新營區開元路305號,06-6333978
J182,詮新汽車修護廠,台南市後壁區上茄苳146之95號,06-6882225
J183,皇億汽車修護廠,臺南市麻豆區北勢里太子宅1-20號,06-5711237
J185,福泰汽車修護廠,臺南市玉井區望明公館116號,06-5742852
J186,三昇汽車修護廠,臺南市新營區長榮路1段313號,06-6359586
J187,高豐汽車保修廠,臺南市後壁區福安里198號,06-6372686
J188,統營汽車保養廠,臺南市鹽水區桐寮里77-2號,06-6552740
J189,名昌輪胎行,臺南市鹽水區和平路35號,
J190,冠宏汽車商行,臺南市六甲區林鳳營372號(可但要用座標),06-6985557
J191,金順弘汽車修配廠,臺南市新營區民治路186-5號,06-6564819  6564919
J192,江峰誠汽車保修廠(興達汽車),臺南市六甲區甲東里忠孝街209號,06-6983983
J193,頂新汽車保養廠,726臺南市學甲區南6鄉道41號,06-7810535
J194,廖招展汽車修護廠,,06-6372841
J195,裕鑫汽車,730臺南市新營區長榮路一段512號,06-6350098
J196,轟轤汽車輪胎保養所,臺南市六甲區中山路399號,06-6989933
J197,壹新汽車,,
J198,冠昇二手汽車,台灣730015台南市新營區土庫80-1號,6377446
J199,文成車坊,臺南市官田區區二鎮里75-33號,06-6990199
J200,順益汽車股份有限公司,臺南市新營區復興路748號,
J201,清安汽車,臺南市東山區鳳安2街70號,06-6862665
J202,勝發汽車,臺南市下營區仁興街32號,06-6893480
J203,雋弘汽車保修,臺南市新營區長榮路一段353號,06-6328025
J204,明益汽車修理廠,臺南市新營區民生路229號,06-6593396
J205,永昇汽車工作所,臺南市新營區東山三路85號,06-6359290
J206,峻晟汽車電機,臺南市後壁區後壁里223號,0983054498  06-6872430
J207,鑫好汽車輪胎,臺南市新營區民生路167號,06-6571288
J209,宏仁汽車保養廠,臺南市新營區健康路61號,06-6569366
J210,全鑫輪胎行,臺南市柳營區柳營路3段155號,06-6222709
J211,佳芳底盤定位館,臺南市新營區復興路771號,06-6524997
J212,東鼎汽車,臺南市新營區長榮路一段500號,
J213,多元化汽車,臺南市六甲區建國街115號,937300351
J214,和忠汽車,臺南市新營區長榮路二段1092號,06-6565581  6565781
J215,TOYOTA/官田廠,臺南市官田區南廍里南廍1之5號,06-5793114
J216,和廣汽車,臺南市學甲區中正路395號,06-7837750
J217,欣馳車業,臺南市新營區長榮路1段529號,06-6373715
K001,三益制動科技股份有限公司,臺南市官田區官田工業區建業路41號,06-6984591
K002,長興煞車來令行,臺南市國民路165巷42號,06-2674638.2676153
K003,環成汽車材料行,臺南市公園路948-10號,06-2511495-7
K004,正鋒交通器材有限公司,臺南市東區忠孝里崇明路56號1樓,06-2682239/06-2682242
K005,佑錦汽車材料行,臺南市文賢路88號,06-2240137
K006,佳昇汽車,臺南市北安路3段743號,06-3552367
K007,郁益企業股份有限公司,臺南市北成路94號,06-2811332.2811339
K008,柏泰汽車材料行,臺南市育樂街172-1號,06-2377335
K009,炬霖國際實業股份有限公司,臺南市理安街101號,06-2470292
K010,合展汽車保養所,臺南市安南區本原街1段219號,06-2564715
K011,合興汽車,臺南市北安路2段176號,920388831
K012,誠億汽車,,07-2359175
K013,隆晟汽車材料行,高雄市新興區河南一路84號,07-2368435 2368436  2368437
K014,茂新汽車材料行,高雄市新興區中東街288號,07-2384856----8
L001,承泰企業有限公司,高雄縣路竹鄉社南村大同路428巷11號,07-6973642
L002,全一汽車材料行,高雄縣岡山鎮岡山路455號,07-6232622-3
L003,建豐汽車材料行,高雄縣鳳山市中山東路93-1號,07-7451335
L004,協勝汽車修護廠,高雄縣大寮鄉商協路30號,07-7475744
L005,瑞豐汽車橡膠行,高雄市新興區忠孝一路500巷12號,07-2363348
M001,大友汽車材料行,高雄市楠梓區區東路17巷1號,07-3655526
M002,鴻樺實業股份有限公司,高雄市三民區九如一路58號11F-3,07-3965898
M004,欣昌汽車材料行,臺南市新營區健康路28號,06-6325987
M005,上合實業有限公司,高雄市三民區昌裕街94巷9號,07-2381269
M006,滿好貿易股份有限公司,新北市新北產業園區五權路36號,02-22991917
M007,凱名軸承有限公司,臺中市南區愛國街27號,04-22229967
M008,聚峰實業有限公司,高雄市林森一路328號,07-2361000-2367105-2367139-2368012
M009,祐銓汽車材料有限公司,高雄市新興區中東街208號,07-2381103 2381205
M010,永新軸承有限公司,高雄市七賢一路472號,07-2367000
N001,伯宸企業有限公司,屏東縣潮州鎮朝昇東路131號1F-6,08-7892111
N002,豐意汽車,台東縣卑南鄉初鹿村忠孝路151號,08-9570116
O001,榮宗修配廠,屏東市中山路70號,07-7662455
O002,極好企業有限公司,屏東市建國路209-1號,08-7550841
P001,張家銘,桃園縣龜山鄉萬壽路一段666巷30號,02-82092280
P002,威力特汽車,太子宮224號.太子宮派出所斜對面,983180180
P003,喬新針織有限公司,臺南市官田區渡頭里184號,06-6900359
P004,紘祐汽車保養廠,,0980968308  06-6372366
P005,浤順輪胎行,臺南市六甲區二甲里進化街81巷29號,0937576869/6990009
P006,明仔,,989284518
P007,展駿汽車修護廠,嘉義縣布袋鎮東港里1鄰東港29附5號,05-3475946
P008,緯政汽車,嘉義縣義竹鄉頭竹村234-6號,912753062
P009,志仔,,919066819
P010,茂鉅汽車,,06-6328689
P011,小兔土司,,
P012,楊武雄,臺中市大雅區大林路140巷79號,932511416
P013,阿成 順益,,930365379
P014,阿澤,,963220972
P015,豐凱汽車,臺南市麻豆區光明路166號,937615500
P016,張哲成,六甲區,921290715
P017,王怡仁,,0935-631208
P018,國群,,937303533
P019,東山(阿德),臺南市東山區龍山2街310號鎮安宮,952008717
P020,王翊寰,臺中市西區梅川西路2段18-10號20樓,936401046
P021,陳英俊,,04-22448568
P022,謝偉哲,,921674914
P023,西瓜,,0916-834809
P024,東裕汽車修護廠,臺南市鹽水區新岸內1-55號,06-6529856
P025,阿恩,,
P026,金宏興汽車,臺南市下營區中興南路101巷101號,
P027,詹金珠,,
P028,啟承輪胎行,臺南市新營區長榮路2段951號,0982-733436  06-6562721
P029,良技汽車,臺南市官田區中華路二段170號,
P030,嘉和,匯豐組長,980283176
P031,樺煒汽車,臺南市新營區東山路31號,06-6359928/ 06-6561895
P032,林聖筆,,0956-190883 06-6331413
P033,王有生,臺南市新營區南75鄉道27號,960576193
P034,林俊宏,,
P035,義泰電機,臺南市新營區新進路二段294號,935380866
P036,小戴,,988707659
P037,嘉勝汽車保養車,臺南市下營區公園路51號,919130863
P038,城市汽車,,910746265
P039,冠緯車行,臺南市東山區新東路1段75號,06-6800050
P040,東山阿宏,,925713260
P041,黃建橙,臺南市官田區二區里工業北路15號,06-6987305
P042,宇強,臺南市後壁區福安里下寮206-2號,06-6333699
P043,建興汽車,臺南市新營區民榮里復興路547號,0921023648  06-6561368
P044,新穎汽車檢驗車廠,臺南市新營區復興路1069號,06-6531676  0976570359
